Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,clarida20190222a.pdf,2019-02-22,"The Federal Reserve’s Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,"2019 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business","New York, New York",0,0,0
Speech,quarles20190222a.pdf,2019-02-22,The Future of the Federal Reserve’s Balance Sheet,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"2019 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business","New York, New York",0,0,0
Speech,brainard20190223a.pdf,2019-02-23,Is Economics for Me? Increasing the Participation of Black Women in Economics,Lael Brainard,Member Board of Governors of the Federal Reserve System,Sadie T. M. Alexander Conference for Economics,"Washington, D.C.",0,0,0
Testimony,powell20190226a.pdf,2019-02-26,Semiannual Monetary Policy Report to the Congress,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,clarida20190228a.pdf,2019-02-28,U.S. Economic Outlook and Monetary Policy,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,“Promoting Global Growth and Domestic Economic Security” 35th Annual NABE Economic Policy Conference,"Washington, D.C.",0,0,0
Speech,powell20190228a.pdf,2019-02-28,Recent Economic Developments and Longer-Term Challenges,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,Citizens Budget Commission 87th Annual Awards Dinner,"New York, New York",0,0,0
Speech,brainard20190307a.pdf,2019-03-07,Navigating Cautiously,Lael Brainard,Member Board of Governors of the Federal Reserve System,Julis-Rabinowitz Center for Public Policy and Finance and the Bendheim Center for Finance Woodrow Wilson School of Public and International Affairs Princeton University,"Princeton, New Jersey",0,0,0
Speech,powell20190308a.pdf,2019-03-08,Monetary Policy: Normalization and the Road Ahead,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,2019 SIEPR Economic Summit,"Stanford, California",0,0,0
Speech,powell20190311a.pdf,2019-03-11,Remarks by Jerome H. Powell,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,“Just Economy Conference” sponsored by the National Community Reinvestment Coalition,"Washington, D.C.",0,0,0
Speech,brainard20190312a.pdf,2019-03-12,The Community Reinvestment Act: How Can We Preserve What Works and Make it Better?,Lael Brainard,Member Board of Governors of the Federal Reserve System,2019 Just Economy Conference National Community Reinvestment Coalition,"Washington, D.C.",0,0,0
Speech,bowman20190325a.pdf,2019-03-25,Welcoming remarks by Governor Bowman,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,National Agricultural Credit Conference,"Washington, D.C.",0,0,0
Speech,bowman20190328a.pdf,2019-03-28,Agriculture and Community Banking,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,"Ag Lenders Conference, sponsored by The Independent Community Bankers Association of New Mexico","Deming, New Mexico",0,0,0
Speech,clarida20190328a.pdf,2019-03-28,Global Shocks and the U.S. Economy,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,“The Euro Area:  Staying the Course through Uncertainties” BDF Symposium and 34th SUERF Colloquium sponsored by Banque de France and the European Money and Finance Forum,"Paris, France",0,0,0
Speech,quarles20190328a.pdf,2019-03-28,The Financial Stability Board in 2019,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"Joint Conference of the European Central Bank and the Journal of Money, Credit, and Banking","Frankfurt, Germany",0,0,0
Speech,quarles20190329a.pdf,2019-03-29,Frameworks for the Countercyclical Capital Buffer,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,“Strategic Approaches to the Fed’s Balance Sheet and Communications” Spring 2019 Meeting of the Manhattan Institute’s Shadow Open Market Committee,"New York, New York",0,0,0
Speech,bowman20190402a.pdf,2019-04-02,Fostering Closer Supervisory Communication,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,Conference of State Bank Supervisors,"Washington, D.C.",0,0,0
Speech,quarles20190402a.pdf,2019-04-02,The Financial Stability Board: Beyond the Fog of Battle,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,2019 European Bank Executive Committee Forum “The Future of Banking: The Human Factor”,"Brussels, Belgium",0,0,0
Speech,clarida20190409.pdf,2019-04-09,"The Federal Reserve’s Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,“Fed Listens: Distributional Consequences of the Cycle and Monetary Policy” Conference hosted by the Opportunity and Inclusive Growth Institute Federal Reserve Bank of Minneapolis,"Minneapolis, Minnesota",0,0,0
Speech,quarles20190410a.pdf,2019-04-10,Progress on the Transition to Risk-Free Rates,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,At the Financial Stability Board Roundtable on Reforming Major Interest Rate Benchmarks,"Washington, D.C.",0,0,0
Speech,bowman20190411a.pdf,2019-04-11,Community Banking in the Age of Innovation,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,“Fed Family” Luncheon at the Federal Reserve Bank of San Francisco,"San Francisco, California",0,0,0
Speech,clarida20190411a.pdf,2019-04-11,U.S. Economic Outlook and Monetary Policy,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,Washington Policy Summit sponsored by Institute of International Finance,"Washington, D.C.",0,0,0
Speech,clarida20190503a.pdf,2019-05-03,"Models, Markets, and Monetary Policy",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,"“Strategies for Monetary Policy,” a Hoover Institution Monetary Policy Conference Stanford University","Stanford, California",0,0,0
Speech,brainard20190508a.pdf,2019-05-08,"Governor Brainard - Fed Listens"" in Richmond: How Does Monetary Policy Affect Your Community?""",Lael Brainard,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Richmond Richmond Community Listening Session,"Richmond, Virginia",0,0,0
Speech,powell20190509a.pdf,2019-05-09,Welcoming Remarks by Chair Powell at the 2019 Federal Reserve System Community Development Research Conference,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"2019 Federal Reserve System Community Development Research Conference: ""Renewing the Promise of the Middle Class""","Washington, D.C.",0,0,0
Speech,brainard20190510a.pdf,2019-05-10,Is the Middle Class within Reach for Middle-Income Families?,Lael Brainard,Member Board of Governors of the Federal Reserve System,“Renewing the Promise of the Middle Class” 2019 Federal Reserve System Community Development Research Conference,"Washington, D.C.",0,0,0
Speech,clarida20190513a.pdf,2019-05-13,"The Federal Reserve’s Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,“New England Perspectives on Fed Policymaking: A ‘Fed Listens’ Conference” hosted by the Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,brainard20190516a.pdf,2019-05-16,The Disconnect between Inflation and Employment in the New Normal,Lael Brainard,Member Board of Governors of the Federal Reserve System,"At ""Certain Uncertainty: Tax Policy in Unsettled Times"" National Tax Association 49th Annual Spring Symposium","Washington, D.C.",0,0,0
Speech,clarida20190517a.pdf,2019-05-17,"The Federal Reserve’s Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,"At ""Fed Listens: Education, Employment, and Monetary Policy in the Third District"" hosted by the Federal Reserve Bank","Philadelphia, Pennsylvania",0,0,0
Speech,clarida20190520a.pdf,2019-05-20,"The Federal Reserve's Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,"At ""Fed Listens: A Capstone Roundtable"" hosted by the Federal Reserve Bank","New York, New York",0,0,0
Speech,powell20190520a.pdf,2019-05-20,Business Debt and Our Dynamic Financial System,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"At ""Mapping the Financial Frontier: What Does the Next Decade Hold?” 24th Annual Financial Markets Conference, sponsored by the Federal Reserve Bank of Atlanta","Amelia Island, Florida",0,0,0
Speech,clarida20190530a.pdf,2019-05-30,Sustaining Maximum Employment and Price Stability,Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,At the Economic Club of New York,"New York, New York",0,0,0
Speech,quarles20190530a.pdf,2019-05-30,Monetary Policy and Financial Stability,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"At ""Developments in Empirical Macroeconomics,"" a research conference sponsored by the Federal Reserve Board and the Federal Reserve Bank of New York","Washington, D.C.",0,0,0
Speech,quarles20190603a.pdf,2019-06-03,The Next Stage in the LIBOR Transition (via prerecorded video),Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,"At the Alternative Reference Rates Committee Roundtable, cohosted by the Alternative Reference Rates Committee and the New York University Stern School of Business and Its Salomon Center for the Study of Financial Institutions","New York, New York",0,0,0
Speech,powell20190604a.pdf,2019-06-04,Opening Remarks,Jerome H. Powell,Chair Board of Governors of the Federal Reserve System,"At the ""Conference on Monetary Policy Strategy, Tools, and Communications Practices"" sponsored by the Federal Reserve, Federal Reserve Bank of Chicago","Chicago, Illinois",0,0,0
Speech,clarida20190605a.pdf,2019-06-05,"The Federal Reserve's Review of Its Monetary Policy Strategy, Tools, and Communication Practices",Richard H. Clarida,Vice Chair Board of Governors of the Federal Reserve System,"At the Conference on Monetary Policy Strategy, Tools, and Communication Practices (A Fed Listens Event), Federal Reserve Bank of Chicago","Chicago, Illinois",0,0,0
Speech,brainard20190621a.pdf,2019-06-21,Fed Listens in Cincinnati: How Does Monetary Policy Affect Your Community?,Lael Brainard,Member Board of Governors of the Federal Reserve System,"At Policy Summit 2019: Connecting People and Places to Opportunity, Federal Reserve Bank of Cleveland","Cincinnati, Ohio",0,0,0
Testimony,quarles20190515a.pdf,2019-05-15,Supervision and Regulation Report,Randal K. Quarles,Vice Chair for Supervision Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,bowman20190605a.pdf,2019-06-05,Confirmation hearing,Michelle W. Bowman,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
,,,,,,,,,,
