Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,bernanke20110322a.pdf,2011-03-23,Community Banking in a Period of Recovery and Change,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Independent Community Bankers of America National Convention,"San Diego, California",0,0,0
Speech,duke20110324a.pdf,2011-03-24,Changed Circumstances: The Impact of the Financial Crisis on the Economic Condition of Workers Near Retirement and of Business Owners,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Virginia Association of Economists,"Richmond, Virginia",0,0,0
Speech,tarullo20110331a.pdf,2011-03-31,Regulating Systemic Risk,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,2011 Credit Markets Symposium,"Charlotte, North Carolina",0,0,0
Speech,bernanke20110404a.pdf,2011-04-04,"Clearinghouses, Financial Stability, and Financial Reform",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,2011 Financial Markets Conference sponsored by the Federal Reserve Bank of Atlanta,"Stone Mountain, Georgia",0,0,0
Testimony,hunter20110406a.pdf,2011-04-06,Community banking,Maryann F. Hunter,"Deputy Director, Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System",0,0,Subcommittee on Financial Institutions and Consumer Protection,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,raskin20110407a.pdf,2011-04-07,Community Bankers and Supervisors: Seeking Balance,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of New York Community Bankers Conference,"New York, New York",0,0,0
Speech,yellen20110411a.pdf,2011-04-11,"Commodity Prices, the Economic Outlook, and Monetary Policy",Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"Economic Club of New York New York, New York","New York, New York",0,0,0
Testimony,tarullo20110412a.pdf,2011-04-12,Derivatives regulation,Daniel K. Tarullo,Governor Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,duke20110414a.pdf,2011-04-14,Small Business Credit Availability,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,2011 Factoring Conference Sponsored by the International Factoring Association,"Washington, D.C.",0,0,0
Testimony,alvarez20110414a.pdf,2011-04-14,Risk retention,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,Subcommittee on Capital Markets and Government Sponsored Enterprises,Committee on Financial Services,U.S. House of Representatives
Testimony,liang20110414a.pdf,2011-04-14,Financial Stability Oversight Council,J. Nellie Liang,Director Office of Financial Stability Policy and Research Board of Governors of the Federal Reserve System,0,0,Subcommittee on Oversight and Investigations,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20110420a.pdf,2011-04-20,"Statement by Chairman Bernanke on financial literacy, provided for the record of a hearing held on April 12, 2011",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,"Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia",Committee on Homeland Security and Governmental Affairs,U.S. Senate
Speech,duke20110428a.pdf,2011-04-28,Community Voices: Promising Practices for Neighborhood Stabilization,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,2011 Federal Reserve Community Affairs Research Conference,"Arlington, Virginia",0,0,0
